Player,Country
SR Tendulkar (INDIA),INDIA
RT Ponting (AUS),AUS
JH Kallis (ICC/SA),WORLD
R Dravid (ICC/INDIA),WORLD
AN Cook (ENG),ENGLAND
KC Sangakkara (SL),SL
BC Lara (ICC/WI),WORLD
S Chanderpaul (WI),WI
DPMD Jayawardene (SL),SL
AR Border (AUS),AUS
SR Waugh (AUS),AUS
SM Gavaskar (INDIA),INDIA
Younis Khan (PAK),PAK
HM Amla (SA),SA
GC Smith (ICC/SA),WORLD
GA Gooch (ENG),ENGLAND
Javed Miandad (PAK),PAK
Inzamam-ul-Haq (ICC/PAK),WORLD
VVS Laxman (INDIA),INDIA
AB de Villiers (SA),SA
MJ Clarke (AUS),AUS
ML Hayden (AUS),AUS
V Sehwag (ICC/INDIA),WORLD
IVA Richards (WI),WI
AJ Stewart (ENG),ENGLAND
DI Gower (ENG),ENGLAND
KP Pietersen (ENG),ENGLAND
G Boycott (ENG),ENGLAND
GS Sobers (WI),WI
ME Waugh (AUS),AUS
MA Atherton (ENG),ENGLAND
IR Bell (ENG),ENGLAND
JL Langer (AUS),AUS
MC Cowdrey (ENG),ENGLAND
CG Greenidge (WI),WI
Mohammad Yousuf (PAK),PAK
MA Taylor (AUS),AUS
CH Lloyd (WI),WI
DL Haynes (WI),WI
DC Boon (AUS),AUS
JE Root (ENG),ENGLAND
G Kirsten (SA),SA
WR Hammond (ENG),ENGLAND
CH Gayle (WI),WI
SC Ganguly (INDIA),INDIA
V Kohli (INDIA),INDIA
SP Fleming (NZ),NZ
SPD Smith (AUS),AUS
LRPL Taylor (NZ),NZ
GS Chappell (AUS),AUS
DA Warner (AUS),AUS
AJ Strauss (ENG),ENGLAND
DG Bradman (AUS),AUS
ST Jayasuriya (SL),SL
L Hutton (ENG),ENGLAND
DB Vengsarkar (INDIA),INDIA
KF Barrington (ENG),ENGLAND
GP Thorpe (ENG),ENGLAND
BB McCullum (NZ),NZ
KS Williamson (NZ),NZ
PA de Silva (SL),SL
MEK Hussey (AUS),AUS
RB Kanhai (WI),WI
M Azharuddin (INDIA),INDIA
HH Gibbs (SA),SA
RN Harvey (AUS),AUS
GR Viswanath (INDIA),INDIA
RB Richardson (WI),WI
Azhar Ali (PAK),PAK
RR Sarwan (WI),WI
ME Trescothick (ENG),ENGLAND
DCS Compton (ENG),ENGLAND
Saleem Malik (PAK),PAK
N Hussain (ENG),ENGLAND
CL Hooper (WI),WI
CA Pujara (INDIA),INDIA
MP Vaughan (ENG),ENGLAND
AD Mathews (SL),SL
AC Gilchrist (AUS),AUS
MV Boucher (ICC/SA),WORLD
MS Atapattu (SL),SL
TM Dilshan (SL),SL
TT Samaraweera (SL),SL
MD Crowe (NZ),NZ
JB Hobbs (ENG),ENGLAND
KD Walters (AUS),AUS
IM Chappell (AUS),AUS
JG Wright (NZ),NZ
MJ Slater (AUS),AUS
N Kapil Dev (INDIA),INDIA
WM Lawry (AUS),AUS
Misbah-ul-Haq (PAK),PAK
IT Botham (ENG),ENGLAND
JH Edrich (ENG),ENGLAND
A Ranatunga (SL),SL
Zaheer Abbas (PAK),PAK
TW Graveney (ENG),ENGLAND
MS Dhoni (INDIA),INDIA
RB Simpson (AUS),AUS
A Flower (ZIM),WORLD
IR Redpath (AUS),AUS
NJ Astle (NZ),NZ
AJ Lamb (ENG),ENGLAND
H Sutcliffe (ENG),ENGLAND
DJ Cullinan (SA),SA
HP Tillakaratne (SL),SL
PBH May (ENG),ENGLAND
DL Vettori (ICC/NZ),WORLD
Asad Shafiq (PAK),PAK
ER Dexter (ENG),ENGLAND
ED Weekes (WI),WI
FDM Karunaratne (SL),SL
KJ Hughes (AUS),AUS
MW Gatting (ENG),ENGLAND
DR Martyn (AUS),AUS
AI Kallicharran (WI),WI
APE Knott (ENG),ENGLAND
M Amarnath (INDIA),INDIA
IA Healy (AUS),AUS
RC Fredericks (WI),WI
Tamim Iqbal (BDESH),WORLD
MA Butcher (ENG),ENGLAND
PD Collingwood (ENG),ENGLAND
RA Smith (ENG),ENGLAND
Mushfiqur Rahim (BDESH),WORLD
SM Katich (AUS),AUS
G Gambhir (INDIA),INDIA
Mudassar Nazar (PAK),PAK
AM Rahane (INDIA),INDIA
MJ Prior (ENG),ENGLAND
Saeed Anwar (PAK),PAK
JM Bairstow (ENG),ENGLAND
M Vijay (INDIA),INDIA
Majid Khan (PAK),PAK
MN Samuels (WI),WI
Hanif Mohammad (PAK),PAK
Shakib Al Hasan (BDESH),WORLD
FMM Worrell (WI),WI
LD Chandimal (SL),SL
A Flintoff (ENG/ICC),WORLD
IJL Trott (ENG),ENGLAND
RJ Shastri (INDIA),INDIA
Imran Khan (PAK),PAK
F du Plessis (SA),SA
CL Walcott (WI),WI
BA Stokes (ENG),ENGLAND
SM Pollock (SA),SA
SR Watson (AUS),AUS
WJ Cronje (SA),SA
D Elgar (SA),SA
AG Prince (SA),SA
Mohammad Hafeez (PAK),PAK
Mushtaq Mohammad (PAK),PAK
RW Marsh (AUS),AUS
DM Jones (AUS),AUS
PR Umrigar (INDIA),INDIA
BJ Watling (NZ),NZ
DL Amiss (ENG),ENGLAND
AW Greig (ENG),ENGLAND
Asif Iqbal (PAK),PAK
TWM Latham (NZ),NZ
